gw_key,sensor_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,sensor_latitude,sensor_longitude,sensor_altitude
46,t13-4,10000.0,2,0,0.001,41.34858333333334,26.886416666666666,22.0
72,ec6,10000.0,2,0,0.001,41.26419444444444,27.639055555555554,107.0
79,m8,10000.0,2,0,0.001,41.36344444444445,27.32677777777777,43.0
79,t5-1,10000.0,2,0,0.001,41.42869444444444,27.36730555555556,62.0
46,t10,10000.0,2,0,0.001,41.35047222222222,27.10927777777778,41.0
46,t14-1,10000.0,2,0,0.001,41.27666666666666,27.01933333333333,100.0
72,t1-2,10000.0,2,0,0.001,41.26191666666666,27.548111111111112,83.0
72,m2,10000.0,2,0,0.001,41.19519444444444,27.46575,70.0
72,t2-3,10000.0,2,0,0.001,41.30561111111111,27.52175,69.0
46,t12-5,10000.0,2,0,0.001,41.364694444444446,27.061805555555555,38.0
46,t13-2,10000.0,2,0,0.001,41.4065,26.928944444444447,37.0
46,t13-3,10000.0,2,0,0.001,41.38247222222222,26.91186111111111,34.0
46,m13,10000.0,2,0,0.001,41.336083333333335,26.922472222222225,28.0
72,cc10,10000.0,2,0,0.001,41.142472222222224,27.599138888888888,89.0
72,ec5,10000.0,3,0,0.001,41.22958333333334,27.64325,83.0
46,t13-4,10000.0,3,0,0.001,41.34858333333334,26.886416666666666,22.0
72,ec6,10000.0,3,0,0.001,41.26419444444444,27.639055555555554,107.0
46,t10,10000.0,3,0,0.001,41.35047222222222,27.10927777777778,41.0
46,t14-1,10000.0,3,0,0.001,41.27666666666666,27.01933333333333,100.0
72,t1-2,10000.0,3,0,0.001,41.26191666666666,27.548111111111112,83.0
72,m2,10000.0,3,0,0.001,41.19519444444444,27.46575,70.0
72,t2-3,10000.0,3,0,0.001,41.30561111111111,27.52175,69.0
46,t12-5,10000.0,3,0,0.001,41.364694444444446,27.061805555555555,38.0
46,t13-2,10000.0,3,0,0.001,41.4065,26.928944444444447,37.0
46,t13-3,10000.0,3,0,0.001,41.38247222222222,26.91186111111111,34.0
46,m13,10000.0,3,0,0.001,41.336083333333335,26.922472222222225,28.0
72,cc10,10000.0,3,0,0.001,41.142472222222224,27.599138888888888,89.0
72,ec5,10000.0,0,1,0.001,41.22958333333334,27.64325,83.0
12,t8-1,10000.0,0,1,0.001,41.060138888888886,27.33877777777777,111.0
30,cc7,10000.0,0,1,0.001,41.18147222222222,27.813305555555555,136.0
92,t16,10000.0,0,1,0.001,41.250638888888886,26.644944444444445,12.0
58,t18,10000.0,0,1,0.001,41.08586111111112,26.54727777777778,21.0
12,m1,10000.0,0,1,0.001,41.090138888888895,27.46905555555556,118.0
64,t12-2,10000.0,0,1,0.001,41.078138888888894,27.076527777777777,31.0
72,ec6,10000.0,0,1,0.001,41.26419444444444,27.639055555555554,107.0
79,m8,10000.0,0,1,0.001,41.36344444444445,27.32677777777777,43.0
79,t5-1,10000.0,0,1,0.001,41.42869444444444,27.36730555555556,62.0
46,t10,10000.0,0,1,0.001,41.35047222222222,27.10927777777778,41.0
66,t3-1,10000.0,0,1,0.001,41.34280555555556,27.456888888888887,57.0
18,t7-1,10000.0,0,1,0.001,41.41822222222222,27.219555555555555,53.0
46,t14-1,10000.0,0,1,0.001,41.27666666666666,27.01933333333333,100.0
72,t1-2,10000.0,0,1,0.001,41.26191666666666,27.548111111111112,83.0
72,m2,10000.0,0,1,0.001,41.19519444444444,27.46575,70.0
46,t12-5,10000.0,0,1,0.001,41.364694444444446,27.061805555555555,38.0
92,m16,10000.0,0,1,0.001,41.246833333333335,26.6185,18.0
170,t13-1,10000.0,0,1,0.001,41.785916666666665,27.129277777777776,244.0
46,t13-2,10000.0,0,1,0.001,41.4065,26.928944444444447,37.0
32,ec1,10000.0,0,1,0.001,41.34663888888889,27.831527777777776,111.0
64,t11-1,10000.0,0,1,0.001,40.94847222222222,26.931,102.0
72,cc10,10000.0,0,1,0.001,41.142472222222224,27.599138888888888,89.0
72,ec5,10000.0,1,1,0.001,41.22958333333334,27.64325,83.0
12,t8-1,10000.0,1,1,0.001,41.060138888888886,27.33877777777777,111.0
79,m7,10000.0,1,1,0.001,41.352,27.35163888888889,48.0
92,t16,10000.0,1,1,0.001,41.250638888888886,26.644944444444445,12.0
46,t13-4,10000.0,1,1,0.001,41.34858333333334,26.886416666666666,22.0
12,m1,10000.0,1,1,0.001,41.090138888888895,27.46905555555556,118.0
64,t12-2,10000.0,1,1,0.001,41.078138888888894,27.076527777777777,31.0
72,ec6,10000.0,1,1,0.001,41.26419444444444,27.639055555555554,107.0
79,m8,10000.0,1,1,0.001,41.36344444444445,27.32677777777777,43.0
79,t5-1,10000.0,1,1,0.001,41.42869444444444,27.36730555555556,62.0
46,t10,10000.0,1,1,0.001,41.35047222222222,27.10927777777778,41.0
46,t14-1,10000.0,1,1,0.001,41.27666666666666,27.01933333333333,100.0
72,t1-2,10000.0,1,1,0.001,41.26191666666666,27.548111111111112,83.0
72,m2,10000.0,1,1,0.001,41.19519444444444,27.46575,70.0
72,t2-3,10000.0,1,1,0.001,41.30561111111111,27.52175,69.0
46,t12-5,10000.0,1,1,0.001,41.364694444444446,27.061805555555555,38.0
92,m16,10000.0,1,1,0.001,41.246833333333335,26.6185,18.0
46,t13-2,10000.0,1,1,0.001,41.4065,26.928944444444447,37.0
46,t13-3,10000.0,1,1,0.001,41.38247222222222,26.91186111111111,34.0
46,m13,10000.0,1,1,0.001,41.336083333333335,26.922472222222225,28.0
64,t11-1,10000.0,1,1,0.001,40.94847222222222,26.931,102.0
72,cc10,10000.0,1,1,0.001,41.142472222222224,27.599138888888888,89.0
72,ec5,10000.0,2,1,0.001,41.22958333333334,27.64325,83.0
79,m7,10000.0,2,1,0.001,41.352,27.35163888888889,48.0
46,t13-4,10000.0,2,1,0.001,41.34858333333334,26.886416666666666,22.0
72,ec6,10000.0,2,1,0.001,41.26419444444444,27.639055555555554,107.0
79,m8,10000.0,2,1,0.001,41.36344444444445,27.326777777777775,43.0
79,t5-1,10000.0,2,1,0.001,41.42869444444444,27.36730555555556,62.0
46,t10,10000.0,2,1,0.001,41.35047222222222,27.10927777777778,41.0
46,t14-1,10000.0,2,1,0.001,41.27666666666666,27.01933333333333,100.0
72,t1-2,10000.0,2,1,0.001,41.26191666666666,27.548111111111112,83.0
72,m2,10000.0,2,1,0.001,41.19519444444444,27.46575,70.0
72,t2-3,10000.0,2,1,0.001,41.30561111111111,27.52175,69.0
46,t12-5,10000.0,2,1,0.001,41.364694444444446,27.061805555555555,38.0
46,t13-2,10000.0,2,1,0.001,41.4065,26.928944444444447,37.0
46,t13-3,10000.0,2,1,0.001,41.38247222222222,26.91186111111111,34.0
46,m13,10000.0,2,1,0.001,41.336083333333335,26.922472222222225,28.0
72,cc10,10000.0,2,1,0.001,41.142472222222224,27.599138888888888,89.0
72,ec5,10000.0,3,1,0.001,41.22958333333334,27.64325,83.0
46,t13-4,10000.0,3,1,0.001,41.34858333333334,26.886416666666666,22.0
72,ec6,10000.0,3,1,0.001,41.26419444444444,27.639055555555554,107.0
46,t10,10000.0,3,1,0.001,41.35047222222222,27.10927777777778,41.0
46,t14-1,10000.0,3,1,0.001,41.276666666666664,27.019333333333332,100.0
72,t1-2,10000.0,3,1,0.001,41.261916666666664,27.548111111111112,83.0
72,m2,10000.0,3,1,0.001,41.19519444444444,27.46575,70.0
72,t2-3,10000.0,3,1,0.001,41.305611111111105,27.52175,69.0
46,t12-5,10000.0,3,1,0.001,41.364694444444446,27.061805555555555,38.0
46,t13-2,10000.0,3,1,0.001,41.4065,26.928944444444447,37.0
46,t13-3,10000.0,3,1,0.001,41.38247222222222,26.91186111111111,34.0
46,m13,10000.0,3,1,0.001,41.336083333333335,26.922472222222222,28.0
72,cc10,10000.0,3,1,0.001,41.142472222222224,27.599138888888888,89.0
